,Date,goals_for,goals_against,goals,shots,shots_on_target,shots_on_target_pct,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,venue_code,time,day_code,hometeam_code,opponent_code,target
249,2018-12-16,2,1,2,10,3,30.0,19.6,2,0,0,1.2,1.2,0.12,0.8,0.8,15,8,5,6,4,4,9,44.4,5,12,1,11,11,26,13,1,0,13.5,6,1,7,1
250,2018-12-30,1,0,1,12,4,33.3,21.3,1,0,0,0.9,0.9,0.08,0.1,0.1,13,5,5,5,3,5,12,41.7,7,11,2,9,17,30,18,0,0,12.0,6,1,10,1
251,2019-01-12,2,1,2,10,6,60.0,18.5,1,0,0,1.3,1.3,0.13,0.7,0.7,18,13,8,7,3,5,12,41.7,7,6,1,5,13,31,17,0,1,17.5,5,1,8,1
252,2019-01-19,0,2,0,13,1,7.7,17.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9,13,8,5,5,3,4,12,33.3,8,11,1,10,14,27,8,2,0,17.5,5,1,5,0
253,2019-02-10,0,6,0,12,4,33.3,19.4,1,0,0,0.9,0.9,0.07,-0.9,-0.9,22,15,12,9,1,9,20,45.0,11,6,1,5,6,28,11,1,0,16.0,6,1,6,0
254,2019-02-27,2,0,1,11,1,9.1,21.2,1,0,0,0.6,0.6,0.07,0.4,0.4,27,17,17,8,2,16,26,61.5,10,11,4,7,13,40,24,0,1,20.0,2,1,0,1
255,2019-03-17,0,2,0,17,5,29.4,16.7,1,0,0,1.4,1.4,0.09,-1.4,-1.4,21,11,10,9,2,4,10,40.0,6,9,2,7,11,32,12,1,0,16.5,6,1,4,0
256,2019-04-03,3,0,3,17,4,23.5,13.8,1,0,0,2.7,2.7,0.16,0.3,0.3,19,10,6,5,8,6,14,42.9,8,5,0,5,8,27,7,0,1,19.75,2,1,7,1
257,2019-04-08,2,0,2,16,7,43.8,14.5,2,0,0,1.9,1.9,0.12,0.1,0.1,12,8,7,5,0,6,13,46.2,7,14,4,10,12,24,13,0,1,20.0,0,1,9,1
258,2019-04-14,0,2,0,6,3,50.0,15.0,0,0,0,0.7,0.7,0.12,-0.7,-0.7,30,15,16,13,1,15,23,65.2,8,15,5,10,10,40,32,1,0,16.5,6,1,3,0
259,2019-04-28,1,1,1,16,3,18.8,19.1,2,0,0,1.7,1.7,0.11,-0.7,-0.7,15,9,8,6,1,5,14,35.7,9,13,1,12,14,29,21,0,0,16.5,6,1,2,2
260,2018-08-19,2,3,2,8,2,25.0,20.8,0,1,1,1.4,0.6,0.08,0.6,0.4,12,5,4,7,1,3,6,50.0,3,7,0,7,4,16,19,0,0,16.0,6,2,7,0
261,2018-08-27,0,3,0,23,5,21.7,18.2,1,0,0,1.5,1.5,0.06,-1.5,-1.5,11,6,5,4,2,6,11,54.5,5,15,2,13,10,21,14,1,1,20.0,0,2,0,0
262,2018-09-29,1,3,1,9,4,44.4,19.4,1,0,0,0.7,0.7,0.07,0.3,0.3,9,7,3,6,0,3,7,42.9,4,8,1,7,9,18,18,0,0,12.5,5,2,9,0
263,2018-10-06,3,2,3,18,10,55.6,17.2,1,0,0,1.9,1.9,0.1,1.1,1.1,11,8,7,2,2,4,8,50.0,4,5,0,5,4,15,22,0,1,17.5,5,2,8,1
264,2018-10-20,2,2,2,7,4,57.1,15.7,0,0,0,0.8,0.8,0.12,1.2,1.2,21,14,8,11,2,12,17,70.6,5,9,7,2,14,35,30,0,0,12.5,5,2,1,2
265,2018-10-28,2,1,2,13,9,69.2,19.8,0,0,1,2.3,1.4,0.11,-0.3,0.6,15,9,4,11,0,7,18,38.9,11,8,1,7,7,22,13,0,1,16.0,6,2,4,1
266,2018-11-11,1,3,1,5,0,0.0,19.5,0,1,1,1.1,0.3,0.06,-0.1,-0.3,18,9,11,6,1,7,18,38.9,11,21,6,15,6,24,33,1,0,16.5,6,2,6,0
267,2018-11-24,0,0,0,12,5,41.7,16.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,23,13,14,7,2,6,17,35.3,11,10,2,8,5,28,18,1,1,15.0,5,2,10,2
268,2018-12-05,2,2,2,10,7,70.0,20.7,1,0,0,1.1,1.1,0.11,0.9,0.9,15,8,7,7,1,2,11,18.2,9,16,3,13,19,34,20,3,1,20.0,2,2,5,2
