Date,shots,shots_on_target,shots_on_target_pct,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,venue_code,time,day_code,hometeam_code,opponent_code,target,xg_rolling,npxg_rolling,shots_rolling,tackles_rolling,h2h_avg_result_3,h2h_avg_goals_3,h2h_avg_goals_against_3
2017-10-14,14,5,35.7,18.9,1,0,0,1.7,1.7,0.12,-0.7,-0.7,23,14,7,12,4,7,20,35.0,13,16,3,13,15,38,27,1,1,15.0,5,10,1,1,0.5666666666666658,0.5666666666666685,5.0,19.0,0.0,0.0,0.0
2017-10-15,12,3,25.0,16.0,0,0,0,1.0,1.0,0.09,0.0,0.0,18,9,10,7,1,6,18,33.3,12,11,2,9,16,34,30,0,1,13.5,6,7,4,2,0.5666666666666651,0.5666666666666682,7.333333333333333,12.0,0.0,0.0,0.0
2017-10-15,12,5,41.7,19.5,1,1,1,1.5,0.7,0.06,-0.5,-0.7,20,15,14,5,1,7,16,43.8,9,14,6,8,8,28,31,0,0,13.5,6,4,7,2,0.7999999999999997,0.800000000000002,8.666666666666666,18.666666666666668,0.0,0.0,0.0
2017-10-20,16,2,12.5,21.5,2,0,0,0.7,0.7,0.04,-0.7,-0.7,15,10,4,7,4,9,14,64.3,5,5,1,4,7,22,5,0,1,20.0,4,9,7,0,0.5666666666666654,0.5666666666666683,9.0,19.0,0.0,0.0,0.0
2017-10-20,6,4,66.7,17.7,0,1,1,1.4,1.0,0.16,1.6,1.0,10,7,8,2,0,5,13,38.5,8,19,9,10,14,24,47,0,0,20.0,4,7,9,1,0.7999999999999984,0.8000000000000015,9.333333333333334,14.666666666666666,0.0,0.0,0.0
2017-10-21,10,0,0.0,17.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,16,14,10,6,0,7,12,58.3,5,9,3,6,11,27,30,0,0,15.0,5,10,8,0,0.8999999999999991,0.9000000000000018,8.333333333333334,19.666666666666668,0.0,0.0,0.0
2017-10-21,7,3,42.9,20.6,0,0,0,0.3,0.3,0.05,0.7,0.7,16,12,9,7,0,5,18,27.8,13,18,3,15,6,22,35,0,1,15.0,5,8,10,1,1.3666666666666647,1.366666666666668,14.0,14.0,0.0,0.0,0.0
2017-10-22,30,14,46.7,16.6,2,0,0,3.5,3.5,0.12,1.5,1.5,12,9,6,6,0,4,10,40.0,6,10,2,8,8,20,23,2,0,13.5,6,5,4,1,1.466666666666666,1.4666666666666688,14.666666666666666,15.666666666666666,0.0,0.0,0.0
2017-10-22,14,5,35.7,17.7,0,0,0,2.0,2.0,0.15,2.0,2.0,22,19,13,8,1,8,18,44.4,10,16,4,12,9,31,29,0,1,16.0,6,0,3,1,1.2333333333333334,1.2333333333333334,16.0,15.333333333333334,0.0,0.0,0.0
2017-10-22,12,7,58.3,20.5,0,0,0,0.6,0.6,0.05,0.4,0.4,26,17,9,14,3,13,19,68.4,6,13,4,9,2,28,14,2,0,16.0,6,3,0,0,1.1666666666666659,1.1666666666666676,14.333333333333334,16.0,0.0,0.0,0.0
2017-10-22,9,3,33.3,16.4,1,0,0,1.0,1.0,0.11,1.0,1.0,8,7,5,1,2,2,13,15.4,11,20,7,13,10,18,30,0,1,13.5,6,4,5,0,1.1666666666666663,0.9000000000000021,10.333333333333334,19.666666666666668,0.0,0.0,0.0
2017-10-28,19,8,42.1,14.6,1,1,1,2.6,1.8,0.1,-0.6,-0.8,21,15,12,8,1,9,24,37.5,15,11,1,10,11,32,20,1,1,15.0,5,10,9,2,0.8666666666666657,0.8666666666666685,10.0,19.666666666666668,0.0,0.0,0.0
2017-10-28,6,2,33.3,14.6,0,0,0,0.8,0.8,0.13,1.2,1.2,23,13,14,7,2,7,21,33.3,14,7,3,4,14,37,39,1,0,15.0,5,9,10,2,0.6333333333333321,0.633333333333335,11.333333333333334,17.0,0.0,0.0,0.0
2017-10-28,11,3,27.3,18.2,1,0,0,0.8,0.8,0.07,0.2,0.2,9,4,4,4,1,4,12,33.3,8,14,3,11,15,24,32,1,1,12.5,5,2,0,1,1.966666666666666,1.7000000000000008,13.0,17.333333333333332,0.0,0.0,0.0
